© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Date	Wed Nov 22 07:55:53 PST 2017
Analysis ID	15713973

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Apoptosis Signaling	-0E00	NaN	2.22E-02	MRAS,FAS	
April Mediated Signaling	-0E00	NaN	2.56E-02	FOS,	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	2.13E-02	FAS,	
B Cell Receptor Signaling	-0E00	NaN	2.09E-02	PAG1,MRAS,EGR1,MEF2C	
CCR3 Signaling in Eosinophils	-0E00	NaN	2.31E-02	MRAS,ITPR1,GNG2	
CD27 Signaling in Lymphocytes	-0E00	NaN	1.89E-02	FOS,	
CD28 Signaling in T Helper Cells	-0E00	NaN	1.52E-02	FOS,ITPR1	
CD40 Signaling	-0E00	NaN	2.53E-02	FOS,TANK	
CDK5 Signaling	-0E00	NaN	2.02E-02	MRAS,EGR1	
CREB Signaling in Neurons	-0E00	NaN	1.61E-02	MRAS,ITPR1,GNG2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	NaN	2.02E-02	PTPN22,B2M	
Calcium Signaling	-0E00	NaN	2.78E-02	TP63,ATP2B2,ATP2B4,ITPR1,MEF2C	
Calcium-induced T Lymphocyte Apoptosis	-0E00	NaN	3.03E-02	NR4A1,ITPR1	
Cancer Drug Resistance By Drug Efflux	-0E00	NaN	2.04E-02	MRAS,	
Cardiac Hypertrophy Signaling	-0E00	NaN	2.12E-02	RHOB,MRAS,GNG2,IL6,MEF2C	
Cdc42 Signaling	-0E00	NaN	2.40E-02	FOS,ARHGEF6,CDC42EP5,B2M	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	NaN	2.04E-02	GADD45A,	
Cellular Effects of Sildenafil (Viagra)	-0E00	NaN	2.29E-02	ITPR1,PDE5A,PDE4B	
Chemokine Signaling	-0E00	NaN	2.82E-02	FOS,MRAS	
Chronic Myeloid Leukemia Signaling	-0E00	NaN	9.43E-03	MRAS,	
Clathrin-mediated Endocytosis Signaling	-0E00	NaN	3.02E-02	EGF,SNAP91,VEGFA,ITGB8,ITGB3,APOE	
Cyclins and Cell Cycle Regulation	-0E00	NaN	1.25E-02	CCNA1,	
Docosahexaenoic Acid (DHA) Signaling	-0E00	NaN	1.92E-02	IL1B,	
Dopamine Receptor Signaling	-0E00	NaN	1.30E-02	MAOB,	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	NaN	1.22E-02	ITPR1,KCNJ8	
EIF2 Signaling	-0E00	NaN	9.05E-03	VEGFA,MRAS	
Endometrial Cancer Signaling	-0E00	NaN	1.56E-02	MRAS,	
ErbB2-ErbB3 Signaling	-0E00	NaN	1.45E-02	MRAS,	
ErbB4 Signaling	-0E00	NaN	1.39E-02	MRAS,	
Erythropoietin Signaling	-0E00	NaN	2.47E-02	FOS,MRAS	
Estrogen Receptor Signaling	-0E00	NaN	1.56E-02	MRAS,RUNX2	
Ethanol Degradation II	-0E00	NaN	2.70E-02	ACSS3,	
FAK Signaling	-0E00	NaN	3.03E-02	EGF,ARHGEF6,MRAS	
FGF Signaling	-0E00	NaN	1.10E-02	ITPR1,	
Fc Epsilon RI Signaling	-0E00	NaN	8.40E-03	MRAS,	
FcγRIIB Signaling in B Lymphocytes	-0E00	NaN	1.89E-02	MRAS,	
GM-CSF Signaling	-0E00	NaN	1.37E-02	MRAS,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	NaN	2.74E-02	ITPR1,VIPR1	
Germ Cell-Sertoli Cell Junction Signaling	-0E00	NaN	2.31E-02	TUBA1A,GSN,RHOB,MRAS	
Glioma Signaling	-0E00	NaN	2.63E-02	EGF,MRAS,IDH1	
Gα12/13 Signaling	-0E00	NaN	2.22E-02	F2RL2,MRAS,MEF2C	
HGF Signaling	-0E00	NaN	2.61E-02	FOS,MRAS,IL6	
HIPPO signaling	-0E00	NaN	1.15E-02	RASSF6,	
Heparan Sulfate Biosynthesis	-0E00	NaN	2.44E-02	UST,SULT1C2	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.67E-02	UST,SULT1C2	
Hereditary Breast Cancer Signaling	-0E00	NaN	1.39E-02	MRAS,GADD45A	
Huntington's Disease Signaling	-0E00	NaN	2.00E-02	EGF,SNAP25,CASP1,ITPR1,GNG2	
Hypoxia Signaling in the Cardiovascular System	-0E00	NaN	2.67E-02	UBE2E2,VEGFA	
IGF-1 Signaling	-0E00	NaN	2.83E-02	FOS,MRAS,NOV	
IL-12 Signaling and Production in Macrophages	-0E00	NaN	2.74E-02	FOS,CEBPB,APOE,PPARG	
IL-17A Signaling in Airway Cells	-0E00	NaN	2.56E-02	CCL20,IL6	
IL-3 Signaling	-0E00	NaN	2.41E-02	FOS,MRAS	
IL-4 Signaling	-0E00	NaN	2.25E-02	MRAS,NR3C2	
Induction of Apoptosis by HIV1	-0E00	NaN	1.64E-02	FAS,	
Insulin Receptor Signaling	-0E00	NaN	7.09E-03	MRAS,	
LPS-stimulated MAPK Signaling	-0E00	NaN	2.30E-02	FOS,MRAS	
Leptin Signaling in Obesity	-0E00	NaN	1.16E-02	LEPR,	
Lymphotoxin β Receptor Signaling	-0E00	NaN	1.49E-02	VCAM1,	
MIF-mediated Glucocorticoid Regulation	-0E00	NaN	2.86E-02	LY96,	
MSP-RON Signaling Pathway	-0E00	NaN	1.39E-02	RPS6KA2,	
Melanoma Signaling	-0E00	NaN	1.82E-02	MRAS,	
Mitochondrial Dysfunction	-0E00	NaN	2.92E-02	CYB5A,LRRK2,CPT1B,XDH,MAOB	
Mouse Embryonic Stem Cell Pluripotency	-0E00	NaN	1.89E-02	MRAS,LIFR	
Myc Mediated Apoptosis Signaling	-0E00	NaN	2.86E-02	MRAS,FAS	
NGF Signaling	-0E00	NaN	2.48E-02	RPS6KA2,MRAS,RPS6KA6	
Natural Killer Cell Signaling	-0E00	NaN	2.46E-02	KLRC2,MRAS,KLRC3	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	NaN	1.74E-02	FOS,ITPR1	
Nicotine Degradation III	-0E00	NaN	1.82E-02	CYP2J2,	
Noradrenaline and Adrenaline Degradation	-0E00	NaN	2.50E-02	MAOB,	
Notch Signaling	-0E00	NaN	2.63E-02	CNTN1,	
Nur77 Signaling in T Lymphocytes	-0E00	NaN	1.69E-02	NR4A1,	
OX40 Signaling Pathway	-0E00	NaN	1.10E-02	B2M,	
Oxidative Phosphorylation	-0E00	NaN	9.17E-03	CYB5A,	
P2Y Purigenic Receptor Signaling Pathway	-0E00	NaN	2.99E-02	FOS,MRAS,ITGB3,GNG2	
PAK Signaling	-0E00	NaN	1.98E-02	ARHGEF6,MRAS	
PDGF Signaling	-0E00	NaN	2.22E-02	FOS,MRAS	
PI3K Signaling in B Lymphocytes	-0E00	NaN	2.31E-02	FOS,MRAS,ITPR1	
PI3K/AKT Signaling	-0E00	NaN	1.60E-02	GDF15,MRAS	
PKCθ Signaling in T Lymphocytes	-0E00	NaN	1.50E-02	FOS,MRAS	
PTEN Signaling	-0E00	NaN	2.52E-02	KDR,MRAS,MAGI2	
Pancreatic Adenocarcinoma Signaling	-0E00	NaN	2.50E-02	EGF,MMP9,VEGFA	
Phagosome Formation	-0E00	NaN	1.54E-02	RHOB,PLA2R1	
Phospholipase C Signaling	-0E00	NaN	2.90E-02	ARHGEF3,ARHGEF6,RHOB,MRAS,ITPR1,GNG2,MEF2C	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	NaN	1.55E-02	FOS,RHOB,APOE	
Prostate Cancer Signaling	-0E00	NaN	1.03E-02	MRAS,	
Protein Ubiquitination Pathway	-0E00	NaN	1.51E-02	UBE2E2,B2M,PAN2,DNAJB9	
RANK Signaling in Osteoclasts	-0E00	NaN	1.96E-02	FOS,GSN	
Rac Signaling	-0E00	NaN	8.55E-03	MRAS,	
Regulation of Actin-based Motility by Rho	-0E00	NaN	2.22E-02	GSN,RHOB	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	NaN	2.50E-02	FOS,MRAS	
Regulation of eIF4 and p70S6K Signaling	-0E00	NaN	6.37E-03	MRAS,	
Remodeling of Epithelial Adherens Junctions	-0E00	NaN	1.45E-02	TUBA1A,	
Retinoic acid Mediated Apoptosis Signaling	-0E00	NaN	1.61E-02	PARP8,	
RhoA Signaling	-0E00	NaN	1.61E-02	CDC42EP5,ARHGAP12	
Role of BRCA1 in DNA Damage Response	-0E00	NaN	2.50E-02	ABRAXAS1,GADD45A	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00	NaN	2.82E-02	IL15,MRAS	
Role of NFAT in Cardiac Hypertrophy	-0E00	NaN	2.59E-02	MRAS,ITPR1,GNG2,IL6,MEF2C	
Role of NFAT in Regulation of the Immune Response	-0E00	NaN	2.69E-02	FOS,MRAS,ITPR1,GNG2,MEF2C	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	NaN	1.30E-02	WNT9A,	
SAPK/JNK Signaling	-0E00	NaN	2.88E-02	MRAS,GNG2,GADD45A	
STAT3 Pathway	-0E00	NaN	2.70E-02	KDR,MRAS	
Semaphorin Signaling in Neurons	-0E00	NaN	1.89E-02	RHOB,	
Serotonin Degradation	-0E00	NaN	2.63E-02	MAOB,SULT1C2	
Serotonin Receptor Signaling	-0E00	NaN	2.33E-02	MAOB,	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	NaN	1.69E-02	TUBA1A,MRAS,MAGI2	
Signaling by Rho Family GTPases	-0E00	NaN	2.78E-02	FOS,ARHGEF3,ARHGEF6,RHOB,MRAS,CDC42EP5,GNG2	
Sirtuin Signaling Pathway	-0E00	NaN	2.41E-02	TUBA1A,DUSP6,GADD45A,EPAS1,PPARG,CPT1B,CXCL8	
Superpathway of Inositol Phosphate Compounds	-0E00	NaN	2.55E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
Synaptic Long Term Depression	-0E00	NaN	2.70E-02	PNPLA3,MRAS,ITPR1,PLA2R1	
Synaptic Long Term Potentiation	-0E00	NaN	1.64E-02	MRAS,ITPR1	
T Cell Receptor Signaling	-0E00	NaN	2.75E-02	FOS,PAG1,MRAS	
T Helper Cell Differentiation	-0E00	NaN	2.74E-02	IL6,RORC	
Tec Kinase Signaling	-0E00	NaN	2.94E-02	FOS,RHOB,MRAS,GNG2,FAS	
Telomerase Signaling	-0E00	NaN	1.80E-02	EGF,MRAS	
Th1 Pathway	-0E00	NaN	7.41E-03	IL6,	
Th1 and Th2 Activation Pathway	-0E00	NaN	2.70E-02	CCR1,IL24,BHLHE41,IL6,S1PR1	
Th2 Pathway	-0E00	NaN	2.67E-02	CCR1,IL24,BHLHE41,S1PR1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	2.38E-02	SULT1C2,	
Tight Junction Signaling	-0E00	NaN	2.40E-02	FOS,F2RL2,SNAP25,MAGI2	
Type II Diabetes Mellitus Signaling	-0E00	NaN	1.56E-02	CEBPB,PPARG	
UVB-Induced MAPK Signaling	-0E00	NaN	1.52E-02	FOS,	
VEGF Signaling	-0E00	NaN	2.91E-02	KDR,VEGFA,MRAS	
Wnt/β-catenin Signaling	-0E00	NaN	2.91E-02	AXIN2,KREMEN1,LRP1,WNT9A,GJA1	
eNOS Signaling	-0E00	NaN	2.33E-02	CCNA1,KDR,VEGFA,ITPR1	
fMLP Signaling in Neutrophils	-0E00	NaN	2.44E-02	MRAS,ITPR1,GNG2	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	NaN	8.13E-03	ITPR1,	
mTOR Signaling	-0E00	NaN	2.49E-02	VEGFA,RPS6KA2,RHOB,MRAS,RPS6KA6	
nNOS Signaling in Neurons	-0E00	NaN	2.13E-02	RASD1,	
p70S6K Signaling	-0E00	NaN	1.52E-02	F2RL2,MRAS	
Fatty Acid β-oxidation I	2.02E-01	NaN	3.12E-02	SCP2,	
Glutathione-mediated Detoxification	2.1E-01	NaN	3.23E-02	MGST1,	
PXR/RXR Activation	2.28E-01	NaN	3.08E-02	SCD,IL6	
Thrombopoietin Signaling	2.28E-01	NaN	3.08E-02	FOS,MRAS	
Acetone Degradation I (to Methylglyoxal)	2.28E-01	NaN	3.45E-02	CYP2J2,	
IL-2 Signaling	2.34E-01	NaN	3.12E-02	FOS,MRAS	
Melatonin Degradation I	2.34E-01	NaN	3.12E-02	CYP2J2,SULT1C2	
Nicotine Degradation II	2.34E-01	NaN	3.12E-02	FMO5,CYP2J2	
Melanocyte Development and Pigmentation Signaling	2.4E-01	NaN	3.06E-02	RPS6KA2,MRAS,RPS6KA6	
TR/RXR Activation	2.4E-01	NaN	3.06E-02	AKR1C1/AKR1C2,THRB,KLF9	
Sumoylation Pathway	2.5E-01	NaN	3.12E-02	FOS,RHOB,FAS	
PCP pathway	2.54E-01	NaN	3.28E-02	CTHRC1,WNT9A	
Antiproliferative Role of TOB in T Cell Signaling	2.58E-01	NaN	3.85E-02	CCNA1,	
Estrogen-mediated S-phase Entry	2.58E-01	NaN	3.85E-02	CCNA1,	
Lipid Antigen Presentation by CD1	2.58E-01	NaN	3.85E-02	B2M,	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.58E-01	NaN	3.85E-02	LPCAT4,	
Glioblastoma Multiforme Signaling	2.6E-01	NaN	3.09E-02	EGF,RHOB,MRAS,ITPR1,WNT9A	
Gap Junction Signaling	2.63E-01	NaN	3.08E-02	EGF,TUBA1A,MRAS,ITPR1,NOV,GJA1	
Acute Myeloid Leukemia Signaling	2.67E-01	NaN	3.23E-02	CCNA1,MRAS,IDH1	
Ceramide Signaling	2.67E-01	NaN	3.23E-02	FOS,MRAS,S1PR1	
Death Receptor Signaling	2.67E-01	NaN	3.23E-02	TANK,FAS,PARP8	
Dermatan Sulfate Biosynthesis	2.68E-01	NaN	3.39E-02	UST,SULT1C2	
Bupropion Degradation	2.69E-01	NaN	4.00E-02	CYP2J2,	
Ethanol Degradation IV	2.69E-01	NaN	4.00E-02	ACSS3,	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.69E-01	NaN	4.00E-02	MAOB,	
NRF2-mediated Oxidative Stress Response	2.71E-01	NaN	3.11E-02	FOS,GCLC,BACH1,MRAS,MGST1,DNAJB9	
Sphingosine-1-phosphate Signaling	2.76E-01	NaN	3.20E-02	RHOB,ASAH1,CASP1,S1PR1	
Systemic Lupus Erythematosus Signaling	2.77E-01	NaN	3.11E-02	FOS,TNFSF13B,IL1B,MRAS,IL1A,IL6,RNPC3	
CDP-diacylglycerol Biosynthesis I	2.81E-01	NaN	4.17E-02	LPCAT4,	
Cysteine Biosynthesis III (mammalia)	2.81E-01	NaN	4.17E-02	CTH,	
Tumoricidal Function of Hepatic Natural Killer Cells	2.81E-01	NaN	4.17E-02	FAS,	
Chondroitin Sulfate Biosynthesis	2.84E-01	NaN	3.51E-02	UST,SULT1C2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.88E-01	NaN	3.17E-02	EGF,MMP9,SNAI2,MRAS,EGR1,WNT9A	
Actin Nucleation by ARP-WASP Complex	2.92E-01	NaN	3.57E-02	RHOB,MRAS	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.92E-01	NaN	3.37E-02	IL15,IL6,FAS	
Renin-Angiotensin Signaling	2.92E-01	NaN	3.28E-02	FOS,MRAS,ITPR1,PTGER2	
Putrescine Degradation III	2.94E-01	NaN	4.35E-02	MAOB,	
G Beta Gamma Signaling	2.98E-01	NaN	3.41E-02	ARHGEF6,MRAS,GNG2	
Integrin Signaling	3.01E-01	NaN	3.20E-02	ITGA1,GSN,ITGA10,RHOB,MRAS,ITGB8,ITGB3	
NF-κB Activation by Viruses	3.05E-01	NaN	3.45E-02	ITGA1,MRAS,ITGB3	
α-Adrenergic Signaling	3.05E-01	NaN	3.45E-02	MRAS,ITPR1,GNG2	
Polyamine Regulation in Colon Cancer	3.07E-01	NaN	4.55E-02	PPARG,	
FLT3 Signaling in Hematopoietic Progenitor Cells	3.12E-01	NaN	3.49E-02	RPS6KA2,MRAS,RPS6KA6	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.12E-01	NaN	3.49E-02	RAPGEF4,ITPR1,GNG2	
Triacylglycerol Degradation	3.17E-01	NaN	3.77E-02	PNPLA3,LIPG	
Growth Hormone Signaling	3.19E-01	NaN	3.53E-02	FOS,RPS6KA2,RPS6KA6	
Oxidative Ethanol Degradation III	3.21E-01	NaN	4.76E-02	ACSS3,	
Prolactin Signaling	3.33E-01	NaN	3.61E-02	FOS,CEBPB,MRAS	
Renal Cell Carcinoma Signaling	3.33E-01	NaN	3.61E-02	FOS,VEGFA,MRAS	
TNFR1 Signaling	3.45E-01	NaN	4.00E-02	FOS,TANK	
RhoGDI Signaling	3.45E-01	NaN	3.39E-02	ARHGEF3,ARHGEF6,RHOB,MRAS,GNG2,ARHGAP12	
Nitric Oxide Signaling in the Cardiovascular System	3.46E-01	NaN	3.54E-02	KDR,VEGFA,ITPR1,PDE5A	
GADD45 Signaling	3.53E-01	NaN	5.26E-02	GADD45A,	
Purine Nucleotides Degradation II (Aerobic)	3.53E-01	NaN	5.26E-02	XDH,	
Chondroitin Sulfate Biosynthesis (Late Stages)	3.55E-01	NaN	4.08E-02	UST,SULT1C2	
Ephrin Receptor Signaling	3.56E-01	NaN	3.43E-02	EGF,VEGFA,MRAS,ANGPT1,GNG2,EFNB3	
Human Embryonic Stem Cell Pluripotency	3.57E-01	NaN	3.50E-02	BMP5,MRAS,BMP2,WNT9A,S1PR1	
Breast Cancer Regulation by Stathmin1	3.65E-01	NaN	3.41E-02	ARHGEF3,TUBA1A,ARHGEF6,RB1CC1,MRAS,ITPR1,GNG2	
Molecular Mechanisms of Cancer	3.76E-01	NaN	3.30E-02	ARHGEF3,BMP5,MRAS,BMP2,SYNGAP1,FOS,ARHGEF6,RHOB,LAMTOR3,LRP1,FAS,PMAIP1,WNT9A	
Neurotrophin/TRK Signaling	3.81E-01	NaN	3.90E-02	FOS,MRAS,SPRY1	
Non-Small Cell Lung Cancer Signaling	3.81E-01	NaN	3.90E-02	EGF,MRAS,ITPR1	
Dermatan Sulfate Biosynthesis (Late Stages)	3.88E-01	NaN	4.35E-02	UST,SULT1C2	
Dermatan Sulfate Degradation (Metazoa)	3.89E-01	NaN	5.88E-02	CEMIP,	
Mitochondrial L-carnitine Shuttle Pathway	3.89E-01	NaN	5.88E-02	CPT1B,	
γ-linolenate Biosynthesis II (Animals)	3.89E-01	NaN	5.88E-02	CYB5A,	
GDNF Family Ligand-Receptor Interactions	3.89E-01	NaN	3.95E-02	FOS,MRAS,ITPR1	
ERK/MAPK Signaling	3.91E-01	NaN	3.50E-02	FOS,DUSP1,RAPGEF4,MRAS,LAMTOR3,DUSP6,PPARG	
iNOS Signaling	3.99E-01	NaN	4.44E-02	FOS,LY96	
Adenosine Nucleotides Degradation II	4.09E-01	NaN	6.25E-02	XDH,	
Chondroitin Sulfate Degradation (Metazoa)	4.09E-01	NaN	6.25E-02	CEMIP,	
Vitamin-C Transport	4.09E-01	NaN	6.25E-02	SLC2A3,	
Role of RIG1-like Receptors in Antiviral Innate Immunity	4.11E-01	NaN	4.55E-02	TANK,IFIH1	
CXCR4 Signaling	4.13E-01	NaN	3.64E-02	FOS,RHOB,MRAS,ITPR1,EGR1,GNG2	
Adipogenesis pathway	4.14E-01	NaN	3.73E-02	LPIN1,TXNIP,CEBPB,BMP2,PPARG	
Ephrin B Signaling	4.17E-01	NaN	4.11E-02	MRAS,GNG2,EFNB3	
MIF Regulation of Innate Immunity	4.23E-01	NaN	4.65E-02	FOS,LY96	
Stearate Biosynthesis I (Animals)	4.23E-01	NaN	4.65E-02	LPCAT4,ACOT1	
UVC-Induced MAPK Signaling	4.23E-01	NaN	4.65E-02	FOS,MRAS	
Basal Cell Carcinoma Signaling	4.26E-01	NaN	4.17E-02	BMP5,BMP2,WNT9A	
Melatonin Signaling	4.26E-01	NaN	4.17E-02	RORC,RORA,RORB	
Role of MAPK Signaling in the Pathogenesis of Influenza	4.26E-01	NaN	4.17E-02	PNPLA3,MRAS,PLA2R1	
Dendritic Cell Maturation	4.3E-01	NaN	3.63E-02	IL15,IL1B,IL1A,B2M,IL6,LEPR,LY75	
Glutaryl-CoA Degradation	4.31E-01	NaN	6.67E-02	L3HYPDH,	
Histidine Degradation VI	4.31E-01	NaN	6.67E-02	AMDHD1,	
D-myo-inositol-5-phosphate Metabolism	4.32E-01	NaN	3.70E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
Intrinsic Prothrombin Activation Pathway	4.36E-01	NaN	4.76E-02	PROS1,F13A1	
RAR Activation	4.48E-01	NaN	3.68E-02	FOS,RDH12,DUSP1,VEGFA,BMP2,MMP1,RBP5	
B Cell Activating Factor Signaling	4.49E-01	NaN	4.88E-02	FOS,TNFSF13B	
Androgen Biosynthesis	4.55E-01	NaN	7.14E-02	HSD3B1,	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	4.55E-01	NaN	7.14E-02	MAOB,	
GABA Receptor Signaling	4.56E-01	NaN	4.35E-02	GABRR2,GABBR1,MRAS	
Role of IL-17A in Arthritis	4.56E-01	NaN	4.35E-02	CCL20,MMP1,CXCL8	
Superpathway of Melatonin Degradation	4.56E-01	NaN	4.35E-02	CYP2J2,MAOB,SULT1C2	
3-phosphoinositide Degradation	4.58E-01	NaN	3.80E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
Sperm Motility	4.64E-01	NaN	3.94E-02	PNPLA3,MRAS,ITPR1,PDE4B,PLA2R1	
EGF Signaling	4.66E-01	NaN	4.41E-02	FOS,EGF,ITPR1	
Glucocorticoid Receptor Signaling	4.74E-01	NaN	3.54E-02	FOS,IL1B,DUSP1,KRT34,CEBPB,MRAS,NR3C2,VIPR1,IL6,MMP1,VCAM1,CXCL8	
NAD Phosphorylation and Dephosphorylation	4.81E-01	NaN	7.69E-02	PXYLP1,	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	4.81E-01	NaN	7.69E-02	XDH,	
Salvage Pathways of Pyrimidine Ribonucleotides	4.85E-01	NaN	4.21E-02	AK9,AK7,APOBEC3G,AK5	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.04E-01	NaN	4.10E-02	BMP5,MRAS,BMP2,LIFR,WNT9A	
Leukocyte Extravasation Signaling	5.05E-01	NaN	3.79E-02	MMP3,ITGA1,MMP9,RAPGEF4,ITGB3,ARHGAP12,MMP1,VCAM1	
Dopamine Degradation	5.08E-01	NaN	5.41E-02	MAOB,SULT1C2	
Superpathway of Methionine Degradation	5.08E-01	NaN	5.41E-02	CTH,MCEE	
Acyl-CoA Hydrolysis	5.09E-01	NaN	8.33E-02	ACOT1,	
Glucocorticoid Biosynthesis	5.09E-01	NaN	8.33E-02	HSD3B1,	
Guanosine Nucleotides Degradation III	5.09E-01	NaN	8.33E-02	XDH,	
Hematopoiesis from Multipotent Stem Cells	5.09E-01	NaN	8.33E-02	IL15,	
Leukotriene Biosynthesis	5.09E-01	NaN	8.33E-02	GGT7,	
PPARα/RXRα Activation	5.12E-01	NaN	3.89E-02	IL1B,IL1R1,MRAS,IL1RAP,IL6,CPT1B,MEF2C	
Factors Promoting Cardiogenesis in Vertebrates	5.14E-01	NaN	4.35E-02	BMP5,LRP1,BMP2,MEF2C	
Gαi Signaling	5.21E-01	NaN	4.17E-02	GABBR1,MRAS,GNG2,RGS4,S1PR1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.23E-01	NaN	4.76E-02	TANK,IFIH1,IL6	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.3E-01	NaN	4.20E-02	DPP4,MMP9,PRSS38,PRSS22,C1R	
Phospholipases	5.35E-01	NaN	4.84E-02	PNPLA3,LIPG,PLA2R1	
Mineralocorticoid Biosynthesis	5.41E-01	NaN	9.09E-02	HSD3B1,	
