© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Date	Wed Nov 22 07:59:42 PST 2017
Analysis ID	15714034

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
p38 MAPK Signaling	-0E00	NaN	1.67E-02	EP300,MAP2K6	
tRNA Charging	-0E00	NaN	2.56E-02	MARS2,	
Superpathway of Methionine Degradation	1.98E-01	NaN	2.70E-02	PRMT3,	
B Cell Development	2.12E-01	NaN	2.86E-02	HLA-DQA1,	
DNA Methylation and Transcriptional Repression Signaling	2.2E-01	NaN	2.94E-02	DNMT3B,	
Inhibition of Angiogenesis by TSP1	2.2E-01	NaN	2.94E-02	MAPK1,	
Amyotrophic Lateral Sclerosis Signaling	2.41E-01	NaN	2.70E-02	APAF1,PTPN11,BCL2	
Synaptic Long Term Depression	2.5E-01	NaN	2.70E-02	PRKCA,MAPK1,PPP2R3A,PPP2R2C	
TNFR2 Signaling	2.54E-01	NaN	3.33E-02	CHUK,	
Antioxidant Action of Vitamin C	2.55E-01	NaN	2.78E-02	CHUK,JAK2,MAPK1	
Agrin Interactions at Neuromuscular Junction	2.56E-01	NaN	2.90E-02	MAPK1,UTRN	
GABA Receptor Signaling	2.56E-01	NaN	2.90E-02	ADCY7,GPHN	
Remodeling of Epithelial Adherens Junctions	2.56E-01	NaN	2.90E-02	ACTR2,CLIP1	
Th1 and Th2 Activation Pathway	2.56E-01	NaN	2.70E-02	JAK2,HLA-DQA1,PTPN11,JAK1,MAP2K6	
Epithelial Adherens Junction Signaling	2.58E-01	NaN	2.74E-02	ACTR2,CLIP1,SORBS1,RAP1B	
UVA-Induced MAPK Signaling	2.65E-01	NaN	2.83E-02	PRKCA,PTPN11,MAPK1	
NF-κB Signaling	2.72E-01	NaN	2.76E-02	TLR4,CHUK,PTPN11,EP300,MAP2K6	
PXR/RXR Activation	2.82E-01	NaN	3.08E-02	PRKAR2B,PRKAR2A	
Virus Entry via Endocytic Pathways	2.87E-01	NaN	2.94E-02	ITSN1,PRKCA,PTPN11	
Signaling by Rho Family GTPases	2.89E-01	NaN	2.78E-02	GNB4,ACTR2,CLIP1,PTPN11,MAPK1,ROCK2,CYBB	
PAK Signaling	2.92E-01	NaN	2.97E-02	PTPN11,MAPK1,SOS1	
Gluconeogenesis I	2.95E-01	NaN	3.85E-02	ME2,	
Leukocyte Extravasation Signaling	3.02E-01	NaN	2.84E-02	PRKCA,PTPN11,RAP1B,MAPK1,ROCK2,CYBB	
Germ Cell-Sertoli Cell Junction Signaling	3.05E-01	NaN	2.89E-02	PDPK1,PTPN11,SORBS1,MAPK1,MAP2K6	
IL-17A Signaling in Gastric Cells	3.07E-01	NaN	4.00E-02	MAPK1,	
Gα12/13 Signaling	3.1E-01	NaN	2.96E-02	CHUK,PTPN11,MAPK1,ROCK2	
Cysteine Biosynthesis III (mammalia)	3.2E-01	NaN	4.17E-02	PRMT3,	
Tryptophan Degradation III (Eukaryotic)	3.2E-01	NaN	4.17E-02	HACD2,	
Tumoricidal Function of Hepatic Natural Killer Cells	3.2E-01	NaN	4.17E-02	APAF1,	
14-3-3-mediated Signaling	3.31E-01	NaN	3.05E-02	PRKCA,PTPN11,MAPK1,CBL	
Cellular Effects of Sildenafil (Viagra)	3.31E-01	NaN	3.05E-02	PRKAR2B,ADCY7,CAMK4,PRKAR2A	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.33E-01	NaN	4.35E-02	CCL2,	
Cdc42 Signaling	3.33E-01	NaN	2.99E-02	ACTR2,CLIP1,HLA-DQA1,MAPK1,EXOC5	
Death Receptor Signaling	3.41E-01	NaN	3.23E-02	CHUK,APAF1,BCL2	
Regulation of Cellular Mechanics by Calpain Protease	3.43E-01	NaN	3.51E-02	MAPK1,RB1	
Methionine Degradation I (to Homocysteine)	3.47E-01	NaN	4.55E-02	PRMT3,	
Clathrin-mediated Endocytosis Signaling	3.54E-01	NaN	3.02E-02	FGF5,ACTR2,PPP3R1,PTPN11,CBL,SYNJ1	
Superpathway of Inositol Phosphate Compounds	3.55E-01	NaN	2.98E-02	OCRL,PPFIA1,PTPN11,HACD2,PPP2R3A,NUDT15,SYNJ1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.62E-01	NaN	3.33E-02	TLR4,CHUK,HLA-DQA1	
Transcriptional Regulatory Network in Embryonic Stem Cells	3.7E-01	NaN	3.70E-02	KAT6A,RIF1	
Phototransduction Pathway	3.8E-01	NaN	3.77E-02	PRKAR2B,PRKAR2A	
Triacylglycerol Degradation	3.8E-01	NaN	3.77E-02	NDST3,ABHD2	
Protein Ubiquitination Pathway	3.81E-01	NaN	3.02E-02	USP36,DNAJC13,BIRC6,SKP2,USP12,UBE2T,SACS,CBL	
DNA damage-induced 14-3-3σ Signaling	3.95E-01	NaN	5.26E-02	CCNE2,	
GADD45 Signaling	3.95E-01	NaN	5.26E-02	CCNE2,	
Ubiquinol-10 Biosynthesis (Eukaryotic)	3.95E-01	NaN	5.26E-02	CYP26B1,	
TNFR1 Signaling	4.1E-01	NaN	4.00E-02	CHUK,APAF1	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	4.13E-01	NaN	5.56E-02	CCL2,	
Integrin Signaling	4.3E-01	NaN	3.20E-02	ACTR2,ITGAV,PTPN11,RAP1B,MAPK1,SOS1,DOCK1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	4.44E-01	NaN	4.26E-02	NUDT15,RECQL	
Parkinson's Signaling	4.53E-01	NaN	6.25E-02	MAPK1,	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	4.56E-01	NaN	4.35E-02	BMI1,RB1	
Angiopoietin Signaling	4.59E-01	NaN	3.85E-02	CHUK,PTPN11,SOS1	
Estrogen-Dependent Breast Cancer Signaling	4.59E-01	NaN	3.85E-02	PTPN11,EP300,MAPK1	
IL-9 Signaling	4.68E-01	NaN	4.44E-02	PTPN11,JAK1	
Pyrimidine Ribonucleotides Interconversion	4.68E-01	NaN	4.44E-02	NUDT15,RECQL	
RhoGDI Signaling	4.71E-01	NaN	3.39E-02	GNB4,ACTR2,PRKCA,EP300,GRIP1,ROCK2	
Glutaryl-CoA Degradation	4.75E-01	NaN	6.67E-02	HACD2,	
Glycogen Degradation III	4.75E-01	NaN	6.67E-02	PGM2,	
Histidine Degradation VI	4.75E-01	NaN	6.67E-02	CYP26B1,	
Superpathway of Citrulline Metabolism	4.75E-01	NaN	6.67E-02	GLS,	
Telomere Extension by Telomerase	4.75E-01	NaN	6.67E-02	NBN,	
nNOS Signaling in Skeletal Muscle Cells	4.75E-01	NaN	6.67E-02	CAMK4,	
GDNF Family Ligand-Receptor Interactions	4.77E-01	NaN	3.95E-02	PTPN11,MAPK1,SOS1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	4.81E-01	NaN	4.55E-02	CHUK,EP300	
Hypoxia Signaling in the Cardiovascular System	4.87E-01	NaN	4.00E-02	BIRC6,EP300,UBE2T	
MIF Regulation of Innate Immunity	4.94E-01	NaN	4.65E-02	TLR4,MAPK1	
Role of p14/p19ARF in Tumor Suppression	4.94E-01	NaN	4.65E-02	PTPN11,RB1	
Serotonin Receptor Signaling	4.94E-01	NaN	4.65E-02	GCH1,ADCY7	
UVC-Induced MAPK Signaling	4.94E-01	NaN	4.65E-02	PRKCA,MAPK1	
STAT3 Pathway	4.97E-01	NaN	4.05E-02	JAK2,BCL2,MAPK1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	5E-01	NaN	7.14E-02	NBN,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	5.07E-01	NaN	4.11E-02	PRKAR2B,ADCY7,PRKAR2A	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	5.15E-01	NaN	3.65E-02	TLR4,PRKCA,NLRP3,PTPN11,MAPK1	
B Cell Activating Factor Signaling	5.22E-01	NaN	4.88E-02	CHUK,MAPK1	
Assembly of RNA Polymerase III Complex	5.27E-01	NaN	7.69E-02	BDP1,	
Glycogen Degradation II	5.27E-01	NaN	7.69E-02	PGM2,	
Caveolar-mediated Endocytosis Signaling	5.28E-01	NaN	4.23E-02	ITGAV,ITSN1,PRKCA	
Th1 Pathway	5.3E-01	NaN	3.70E-02	JAK2,HLA-DQA1,PTPN11,JAK1,MAP2K6	
3-phosphoinositide Biosynthesis	5.38E-01	NaN	3.50E-02	OCRL,PPFIA1,PTPN11,HACD2,PPP2R3A,NUDT15,SYNJ1	
Glioma Invasiveness Signaling	5.39E-01	NaN	4.29E-02	ITGAV,PTPN11,MAPK1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	5.41E-01	NaN	3.43E-02	CHUK,PPP3R1,PTPN11,BCL2,MAPK1,CAMK4,MAP2K6,CBL	
April Mediated Signaling	5.52E-01	NaN	5.13E-02	CHUK,MAPK1	
Pregnenolone Biosynthesis	5.56E-01	NaN	8.33E-02	CYP26B1,	
CTLA4 Signaling in Cytotoxic T Lymphocytes	5.62E-01	NaN	4.04E-02	JAK2,PTPN11,PPP2R3A,PPP2R2C	
Glioblastoma Multiforme Signaling	5.72E-01	NaN	3.70E-02	E2F8,PTPN11,MAPK1,RB1,E2F3,SOS1	
Actin Cytoskeleton Signaling	5.77E-01	NaN	3.52E-02	FGF5,ACTR2,PTPN11,TRIO,MAPK1,ROCK2,SOS1,DOCK1	
Dendritic Cell Maturation	5.84E-01	NaN	3.63E-02	TLR4,CHUK,JAK2,HLA-DQA1,PTPN11,EP300,MAPK1	
ERK5 Signaling	5.85E-01	NaN	4.55E-02	PTPN11,EP300,WNK1	
UVB-Induced MAPK Signaling	5.85E-01	NaN	4.55E-02	PRKCA,PTPN11,MAPK1	
Type II Diabetes Mellitus Signaling	5.86E-01	NaN	3.91E-02	CHUK,PDPK1,PRKCA,PTPN11,MAPK1	
Assembly of RNA Polymerase I Complex	5.88E-01	NaN	9.09E-02	TAF1B,	
Glucose and Glucose-1-phosphate Degradation	5.88E-01	NaN	9.09E-02	PGM2,	
Purine Nucleotides De Novo Biosynthesis II	5.88E-01	NaN	9.09E-02	PPAT,	
Sumoylation Pathway	5.91E-01	NaN	4.17E-02	EP300,SP3,PIAS1,RCOR1	
Sperm Motility	5.95E-01	NaN	3.94E-02	PRKCA,PRKAR2B,CAMK4,SLC12A2,PRKAR2A	
Salvage Pathways of Pyrimidine Ribonucleotides	6.01E-01	NaN	4.21E-02	HIPK1,MAPK1,CDK8,MAP2K6	
EIF2 Signaling	6.16E-01	NaN	3.62E-02	PDPK1,EIF3A,PTPN11,BCL2,EIF4G3,MAPK1,RPL7L1,SOS1	
MIF-mediated Glucocorticoid Regulation	6.18E-01	NaN	5.71E-02	TLR4,MAPK1	
Nucleotide Excision Repair Pathway	6.18E-01	NaN	5.71E-02	GTF2H2,GTF2H3	
TWEAK Signaling	6.18E-01	NaN	5.71E-02	CHUK,APAF1	
RhoA Signaling	6.21E-01	NaN	4.03E-02	RAPGEF6,ACTR2,ANLN,ROCK2,RHPN2	
Acute Myeloid Leukemia Signaling	6.22E-01	NaN	4.30E-02	PTPN11,MAPK1,MAP2K6,SOS1	
Ceramide Signaling	6.22E-01	NaN	4.30E-02	PTPN11,BCL2,PPP2R3A,PPP2R2C	
Wnt/Ca+ pathway	6.23E-01	NaN	4.76E-02	PRKCA,EP300,ROR1	
Calcium Transport I	6.24E-01	NaN	1.00E-01	ATP2A2,	
GDP-glucose Biosynthesis	6.24E-01	NaN	1.00E-01	PGM2,	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	6.26E-01	NaN	3.74E-02	TLR4,COL4A1,COL12A1,COL5A2,BCL2,CCL2,KLF12	
Circadian Rhythm Signaling	6.37E-01	NaN	5.88E-02	EP300,CRY1	
Induction of Apoptosis by HIV1	6.5E-01	NaN	4.92E-02	CHUK,APAF1,BCL2	
Ephrin A Signaling	6.64E-01	NaN	5.00E-02	PTPN11,ROCK2,EPHA4	
Citrulline Biosynthesis	6.64E-01	NaN	1.11E-01	GLS,	
Folate Transformations I	6.64E-01	NaN	1.11E-01	MTHFS,	
Phosphatidylethanolamine Biosynthesis II	6.64E-01	NaN	1.11E-01	ETNK1,	
4-1BB Signaling in T Lymphocytes	6.76E-01	NaN	6.25E-02	CHUK,MAPK1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	6.76E-01	NaN	6.25E-02	APAF1,BCL2	
G Protein Signaling Mediated by Tubby	6.76E-01	NaN	6.25E-02	GNB4,JAK2	
Bladder Cancer Signaling	6.77E-01	NaN	4.55E-02	FGF5,MAPK1,RB1,TFDP1	
HER-2 Signaling in Breast Cancer	6.77E-01	NaN	4.55E-02	CCNE2,PRKCA,PTPN11,SOS1	
VEGF Family Ligand-Receptor Interactions	6.77E-01	NaN	4.55E-02	PRKCA,PTPN11,MAPK1,SOS1	
Rac Signaling	6.88E-01	NaN	4.27E-02	CDK5R1,ACTR2,PTPN11,MAPK1,CYBB	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	7.01E-01	NaN	4.65E-02	PRKCA,PRKAR2B,ADCY7,PRKAR2A	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	7.09E-01	NaN	1.25E-01	PGM2,	
Sonic Hedgehog Signaling	7.18E-01	NaN	6.67E-02	PRKAR2B,PRKAR2A	
Actin Nucleation by ARP-WASP Complex	7.23E-01	NaN	5.36E-02	ACTR2,ROCK2,SOS1	
Paxillin Signaling	7.29E-01	NaN	4.42E-02	ITGAV,PTPN11,MAPK1,SOS1,DOCK1	
Renal Cell Carcinoma Signaling	7.38E-01	NaN	4.82E-02	PTPN11,EP300,MAPK1,SOS1	
Melanoma Signaling	7.39E-01	NaN	5.45E-02	PTPN11,MAPK1,RB1	
eNOS Signaling	7.46E-01	NaN	4.07E-02	PDPK1,PRKCA,PRKAR2B,PTPN11,ADCY7,CAMK4,PRKAR2A	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	7.62E-01	NaN	1.43E-01	DLAT,	
mTOR Signaling	7.62E-01	NaN	3.98E-02	PDPK1,PRKCA,EIF3A,PTPN11,EIF4G3,MAPK1,PPP2R3A,PPP2R2C	
Acute Phase Response Signaling	7.63E-01	NaN	4.12E-02	CHUK,PDPK1,JAK2,PTPN11,MAPK1,MAP2K6,SOS1	
Tec Kinase Signaling	7.63E-01	NaN	4.12E-02	TLR4,GNB4,PRKCA,JAK2,PTPN11,GTF2I,JAK1	
IL-15 Production	7.64E-01	NaN	7.14E-02	JAK2,JAK1	
CD27 Signaling in Lymphocytes	7.72E-01	NaN	5.66E-02	CHUK,APAF1,MAP2K6	
FcγRIIB Signaling in B Lymphocytes	7.72E-01	NaN	5.66E-02	PDPK1,PTPN11,SOS1	
Semaphorin Signaling in Neurons	7.72E-01	NaN	5.66E-02	SEMA7A,MAPK1,ROCK2	
CD40 Signaling	7.91E-01	NaN	5.06E-02	CHUK,PTPN11,MAPK1,MAP2K6	
Xenobiotic Metabolism Signaling	8.03E-01	NaN	3.79E-02	NDST3,PRKCA,PTPN11,MED1,EP300,MAPK1,GRIP1,CAMK4,PPP2R3A,PPP2R2C,MAP2K6	
VDR/RXR Activation	8.05E-01	NaN	5.13E-02	PRKCA,MED1,EP300,CYP24A1	
Mouse Embryonic Stem Cell Pluripotency	8.08E-01	NaN	4.72E-02	JAK2,PTPN11,MAPK1,JAK1,SOS1	
CXCR4 Signaling	8.09E-01	NaN	4.24E-02	GNB4,PRKCA,PTPN11,ADCY7,MAPK1,ROCK2,DOCK1	
Adipogenesis pathway	8.21E-01	NaN	4.48E-02	KAT6A,GTF2H2,GTF2H3,PAXIP1,RB1,KAT6B	
PKCθ Signaling in T Lymphocytes	8.31E-01	NaN	4.51E-02	CHUK,PPP3R1,HLA-DQA1,PTPN11,MAPK1,SOS1	
Antiproliferative Role of Somatostatin Receptor 2	8.34E-01	NaN	5.26E-02	GNB4,PTPN11,RAP1B,MAPK1	
IL-15 Signaling	8.34E-01	NaN	5.26E-02	JAK2,PTPN11,MAPK1,JAK1	
Toll-like Receptor Signaling	8.34E-01	NaN	5.26E-02	TLR4,CHUK,MAPK1,MAP2K6	
D-myo-inositol-5-phosphate Metabolism	8.38E-01	NaN	4.32E-02	OCRL,PPFIA1,PTPN11,HACD2,PPP2R3A,NUDT15,SYNJ1	
Hepatic Cholestasis	8.57E-01	NaN	4.37E-02	TLR4,CHUK,PRKCA,PRKAR2B,ADCY7,ATP8B1,PRKAR2A	
CCR3 Signaling in Eosinophils	8.64E-01	NaN	4.62E-02	GNB4,PRKCA,PTPN11,MAPK1,CAMK4,ROCK2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	8.7E-01	NaN	3.85E-02	TLR4,CHUK,PPP3R1,PRKCA,JAK2,PTPN11,CCL2,EP300,MAPK1,CAMK4,ROCK2,MAP2K6	
IL-22 Signaling	8.71E-01	NaN	8.33E-02	MAPK1,JAK1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	8.71E-01	NaN	8.33E-02	JAK2,JAK1	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	8.71E-01	NaN	8.33E-02	OCRL,SYNJ1	
3-phosphoinositide Degradation	8.77E-01	NaN	4.43E-02	OCRL,PPFIA1,PTPN11,HACD2,PPP2R3A,NUDT15,SYNJ1	
nNOS Signaling in Neurons	8.83E-01	NaN	6.38E-02	PPP3R1,PRKCA,CAMK4	
IL-6 Signaling	8.87E-01	NaN	4.69E-02	CHUK,JAK2,PTPN11,MAPK1,MAP2K6,SOS1	
Role of NFAT in Regulation of the Immune Response	8.94E-01	NaN	4.30E-02	GNB4,CHUK,PPP3R1,HLA-DQA1,PTPN11,MAPK1,CAMK4,SOS1	
MSP-RON Signaling Pathway	8.95E-01	NaN	5.56E-02	TLR4,JAK2,PTPN11,CCL2	
Lysine Degradation II	8.96E-01	NaN	2.00E-01	AADAT,	
Lysine Degradation V	8.96E-01	NaN	2.00E-01	AADAT,	
FAK Signaling	8.97E-01	NaN	5.05E-02	PDPK1,PTPN11,MAPK1,SOS1,DOCK1	
ATM Signaling	9.1E-01	NaN	5.10E-02	EP300,PPP2R3A,PPP2R2C,TRRAP,NBN	
Role of JAK1 and JAK3 in γc Cytokine Signaling	9.11E-01	NaN	5.63E-02	JAK2,PTPN11,MAPK1,JAK1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	9.24E-01	NaN	6.67E-02	CCL2,EP300,MAPK1	
Myc Mediated Apoptosis Signaling	9.28E-01	NaN	5.71E-02	APAF1,PTPN11,BCL2,SOS1	
Phospholipase C Signaling	9.41E-01	NaN	4.15E-02	GNB4,PPP3R1,PRKCA,ADCY7,EP300,RAP1B,MAPK1,CAMK4,SOS1,AHNAK	
CCR5 Signaling in Macrophages	9.45E-01	NaN	5.80E-02	GNB4,PRKCA,MAPK1,CAMK4	
ErbB2-ErbB3 Signaling	9.45E-01	NaN	5.80E-02	PDPK1,PTPN11,MAPK1,SOS1	
IL-10 Signaling	9.45E-01	NaN	5.80E-02	CHUK,MAPK1,JAK1,MAP2K6	
Role of IL-17A in Arthritis	9.45E-01	NaN	5.80E-02	PTPN11,CCL2,MAPK1,MAP2K6	
Role of Tissue Factor in Cancer	9.47E-01	NaN	4.88E-02	FGF5,ITGAV,PRKCA,JAK2,PTPN11,MAPK1	
iCOS-iCOSL Signaling in T Helper Cells	9.47E-01	NaN	4.88E-02	CHUK,PDPK1,PPP3R1,HLA-DQA1,PTPN11,CAMK4	
PPAR Signaling	9.52E-01	NaN	5.26E-02	CHUK,MED1,EP300,MAPK1,SOS1	
Natural Killer Cell Signaling	9.59E-01	NaN	4.92E-02	OCRL,PRKCA,PTPN11,MAPK1,SYNJ1,SOS1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	9.59E-01	NaN	4.92E-02	JAK2,PTPN11,MAPK1,JAK1,RIF1,SOS1	
Gαi Signaling	9.84E-01	NaN	5.00E-02	GNB4,PRKAR2B,ADCY7,MAPK1,SOS1,PRKAR2A	
Molybdenum Cofactor Biosynthesis	9.88E-01	NaN	2.50E-01	GPHN,	
Granzyme A Signaling	1E00	NaN	1.00E-01	HMGB2,EP300	
Thrombin Signaling	1.01E00	NaN	4.41E-02	GNB4,PDPK1,PRKCA,PTPN11,ADCY7,MAPK1,CAMK4,ROCK2,SOS1	
IL-12 Signaling and Production in Macrophages	1.01E00	NaN	4.79E-02	TLR4,REL,CHUK,PRKCA,PTPN11,EP300,MAPK1	
